Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
PIGY,3591,4054,5043,8371,4683,7967,6203,10240,9243,2480,5976,3059,5266,3337,4253,5349,3381,4285,4363,3202
PIGZ,373,685,233,553,83,1931,266,215,314,146,353,517,647,764,780,382,550,354,268,843
PIH1D1,2465,2801,814,3972,1643,1657,1778,4319,3991,1967,3291,1246,2101,1248,2497,2050,1254,1746,2793,1412
PIH1D2,20,27,25,72,41,105,119,272,109,43,161,28,143,28,113,129,41,75,59,33
PIK3AP1,1595,1602,455,1459,1280,5965,586,8176,959,293,1191,2157,586,669,1184,1387,524,551,372,994
PIK3C2A,2843,2039,1627,3822,9813,7733,2910,5533,5663,1482,2312,3877,7005,5300,2125,6501,5035,4007,1373,4289
PIK3C2B,1261,922,2191,4315,6549,3402,1241,2739,1696,2898,2169,3275,4098,4665,3276,3286,2117,2873,2178,2477
PIK3C2G,5,38,465,2447,831,317,231,197,25,321,1227,3,3706,71,389,1400,429,973,749,14
PIK3C3,869,1195,483,1149,3419,2655,1800,3570,3181,1364,1650,1153,2548,1247,1295,2204,1271,1717,1100,1459
PIK3CA,1766,1860,289,1623,2766,4778,2211,2623,2760,794,1256,2203,2779,2993,1317,2405,2235,1619,679,2850
PIK3CB,6343,4354,1103,2988,7285,5678,4195,3280,1868,1203,2466,2030,3541,3004,2660,3128,2790,2643,1702,2434
PIK3CD,3671,1178,240,162,593,3528,306,3845,1376,320,1175,1098,1272,563,1423,1804,404,636,858,707
PIK3CG,316,300,25,15,540,1175,103,624,146,74,154,274,220,222,211,482,197,215,52,289
PIK3IP1,1030,1142,318,308,1442,1996,336,2349,1437,379,3947,3288,3161,3808,5277,5237,2802,3939,2477,4721
PIK3R1,2570,5600,3131,7244,24722,14371,8722,4348,2732,897,19277,7325,35471,6048,10889,17246,15947,16283,10891,12689
PIK3R2,2483,3888,3417,7015,5922,8688,4562,8304,4649,3694,4384,1335,4683,1034,3066,3058,1792,1745,7215,1265
PIK3R3,3038,12938,2567,20338,6558,10688,6082,14251,4802,5664,5666,4264,6961,4605,4720,5173,3878,5666,6874,1824
